Statistic Label,Area of Residence,ICD 10 Diagnostic Group,Year,UNIT,VALUE
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2007,No. per 1000 Pop.,1.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2008,No. per 1000 Pop.,1.9
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2009,No. per 1000 Pop.,1.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2010,No. per 1000 Pop.,1.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2011,No. per 1000 Pop.,1.94
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2012,No. per 1000 Pop.,1.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2013,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2014,No. per 1000 Pop.,2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2015,No. per 1000 Pop.,1.94
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2016,No. per 1000 Pop.,1.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.13
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.11
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.07
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.06
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.92
